X0	X1	Y_true	Y_pred	
1.52513	3.51013	5.3534	5.57265
1.01428	2.54118	2.57746	5.23028
4.46946	2.36196	10.5567	10.2702
4.84537	4.62387	22.4043	16.9502
4.80194	3.35143	16.0934	16.2764
2.1847	3.82622	8.35914	8.0908
2.79543	2.54578	7.11655	5.82338
2.59279	3.90531	10.1257	9.8144
2.62519	1.08532	2.84917	5.23028
4.59049	1.67888	7.70689	8.23459
4.18072	2.86982	11.9979	10.9714
1.81172	4.33056	7.84577	8.7957
2.97188	4.70772	13.9908	14.8977
3.63376	2.2363	8.12618	6.97416
1.48441	3.24724	4.82022	5.33123
4.34731	4.15013	18.0419	16.8473
1.54796	3.57512	5.53414	5.67521
1.91551	2.2286	4.26889	5.23028
3.26665	2.4667	8.05784	6.63144
3.00781	2.85633	8.59131	7.1685
1.94481	3.87806	7.5421	7.39572
4.71165	4.63992	21.8617	16.9498
3.59161	1.80519	6.48353	5.79332
4.2817	2.014	8.62333	8.4711
3.38627	3.81089	12.9047	11.8056
2.31166	3.6647	8.47154	7.89144
4.58183	4.48741	20.5606	16.9441
3.17577	4.16768	13.2356	12.6598
1.81794	4.38522	7.97205	9.03697
4.86785	1.18954	5.79052	7.2423
1.49165	3.3182	4.94959	5.37975
3.61109	2.04412	7.38148	6.3174
2.75543	4.65458	12.8254	13.3025
2.0417	2.51957	5.14422	5.23028
2.43376	2.7879	6.78506	5.69612
4.25652	2.68728	11.4384	10.6342
1.81505	2.16486	3.92935	5.23028
4.44519	1.68933	7.50939	7.71562
1.14386	2.01808	2.30841	5.23028
4.76943	4.11302	19.6168	16.9323
2.23097	4.06346	9.06546	9.23767
3.00646	2.68199	8.06328	6.56855
4.18387	1.1115	4.65036	5.58532
3.45542	3.76673	13.0156	11.8906
1.31776	3.86749	5.09641	5.79516
4.73178	1.35222	6.39839	7.39732
2.2163	3.21646	7.12862	6.09869
2.59784	1.05826	2.74919	5.23028
4.21154	4.86351	20.4829	16.9454
2.37047	1.88187	4.46091	5.23028
2.75691	4.7394	13.0661	13.8589
4.35406	3.46117	15.0701	14.9355
3.91593	3.95172	15.4747	15.4558
4.49085	2.96515	13.316	12.5999
