X0	X1	X2	Y_true	Y_pred	
4.33628	3.0443	4.57547	60.4005	60.261
1.00631	1.04064	3.30067	3.45649	18.1786
1.0712	1.73994	2.06159	3.84244	18.1663
4.30679	1.50783	3.76943	24.4783	18.7461
4.25724	3.0135	4.29139	55.0551	54.7681
2.58424	4.5449	2.24644	26.3847	24.1456
2.13434	3.29576	1.7885	12.5808	18.2662
4.50986	3.57854	1.94322	31.3611	32.7628
2.09199	4.05065	3.17233	26.882	20.5203
2.02089	3.20472	1.35559	8.77931	17.8047
1.70466	3.62995	4.12283	25.5114	19.5438
1.47939	3.73765	4.13008	22.8371	19.3867
2.24293	1.32299	4.09484	12.151	18.1883
2.5511	1.25744	4.03541	12.945	18.1957
3.93202	3.78397	3.93595	58.5617	61.1023
2.6498	2.04699	2.65754	14.4148	18.2092
4.58709	4.5733	3.43223	72.0018	61.6213
4.37795	2.98966	4.46862	58.4879	59.1792
4.21589	1.13301	4.35306	20.7931	18.5862
4.8976	4.96959	3.56633	86.8011	61.6244
3.97344	4.22308	1.29281	21.6935	29.6675
1.51833	2.85504	4.52787	19.6278	18.4612
2.95942	3.19945	3.63197	34.3894	20.5956
2.10423	3.07411	1.08455	7.01556	17.1373
4.17442	3.68541	1.32681	20.4123	22.43
2.96633	1.89947	4.09208	23.0566	18.3989
1.23377	4.46999	3.22692	17.7963	19.6932
2.67034	4.43761	1.86686	22.1221	19.3494
4.90575	2.59302	1.60287	20.3897	19.7145
2.62658	1.80093	3.28408	15.5346	18.214
2.17845	3.58646	1.79972	14.0611	18.3189
2.53894	4.92173	1.0992	13.7356	13.0127
2.92727	2.99059	1.15327	10.096	18.2604
3.63446	3.61709	3.16416	41.5965	33.0155
3.07279	3.41248	1.14003	11.9541	18.3733
2.13558	4.39956	1.45171	13.6397	13.0147
1.50284	2.92327	3.51035	15.4217	18.2805
4.08054	4.63765	3.3516	63.4262	61.6133
3.31939	3.4016	3.5783	40.4034	25.6878
1.86602	4.61984	4.35683	37.5589	49.2874
1.29393	3.50078	1.30381	5.90595	13.026
2.3157	1.1387	3.44238	9.07717	18.1747
3.19579	3.18718	1.12466	11.4553	18.378
3.15207	2.03719	3.96977	25.4913	18.5312
1.43459	4.69011	1.14487	7.70312	13.0109
2.14476	4.58683	4.37895	43.0785	57.227
1.87509	4.29367	4.93463	39.7289	47.5026
3.34859	3.00375	2.04162	20.5353	18.6682
3.31397	3.73599	3.26724	40.4514	30.5219
2.11042	2.50014	4.62313	24.3932	18.5518
3.82229	3.01083	2.28285	26.2716	19.5901
1.92409	4.43342	3.10233	26.4638	22.2693
2.73173	4.6879	3.39295	43.4503	58.2751
2.60415	1.10751	4.08943	11.7944	18.1928
1.01279	4.0686	2.26519	9.33398	14.5279
1.13878	4.73155	4.01634	21.6408	24.7461
4.54652	1.45883	2.87731	19.084	18.4604
3.0994	2.52695	3.68277	28.8436	18.8734
4.31731	2.66762	4.60801	53.0701	47.4829
2.36594	3.03662	4.58988	32.9758	19.9964
2.35484	3.03573	3.18182	22.7457	18.5486
1.82392	3.54114	4.38993	28.3535	20.0305
1.44218	2.0143	1.31026	3.80629	18.1663
4.37363	1.36912	2.84358	17.0274	18.3461
1.83907	3.55873	3.28552	21.503	18.7492
4.63585	1.20296	4.42387	24.6708	19.1947
4.4905	2.9867	3.38775	45.4358	38.1771
3.24694	1.7578	3.91938	22.3698	18.3882
1.54584	4.39213	3.13957	21.3163	20.1371
3.10702	1.79907	4.04903	22.6331	18.3898
4.95835	1.39653	1.59894	11.0718	18.2934
2.14767	1.24879	1.60612	4.30762	18.1663
4.78995	1.45325	2.41926	16.8404	18.4278
1.59297	2.97551	4.89333	23.1939	18.799
2.39572	4.70969	1.75067	19.7529	13.0541
1.85323	4.76103	2.80936	24.7877	23.5151
4.99042	3.88269	1.29018	24.9988	50.5044
1.89162	1.35267	4.71237	12.0577	18.1926
4.75232	2.2939	2.172	23.6778	19.3256
3.57344	4.28046	2.30232	35.2163	42.7287
2.06373	3.8324	4.08922	32.3417	22.1981
1.9154	3.77524	2.17104	15.699	18.4519
4.43218	4.0741	1.22117	22.0508	36.3362
1.42859	3.01169	2.75386	11.8484	18.2216
2.6102	1.29847	4.20838	14.2633	18.2088
3.37883	2.18749	4.48917	33.1802	19.4425
4.35305	2.40311	3.9594	41.4187	24.694
2.77005	1.1887	3.04088	10.0129	18.1781
3.20056	3.45287	3.77553	41.7238	27.1262
1.27794	3.61765	3.40816	15.7564	18.4795
4.81063	4.01899	2.4094	46.5831	61.4042
1.60224	4.83583	2.70018	20.9214	18.2706
1.09796	1.76745	2.88408	5.59683	18.1676
3.60222	2.88546	2.59228	26.9443	19.2238
4.46875	1.27132	4.5937	26.0977	19.2672
1.82228	3.02937	3.20483	17.6918	18.3358
4.21343	4.2605	3.84721	69.0623	61.6117
4.08532	3.90877	2.22797	35.5775	40.7773
3.31007	3.74178	1.94723	24.1175	20.3712
1.53362	3.83656	4.72266	27.7873	21.5591
1.08269	1.8396	3.69232	7.35402	18.1725
2.19141	1.93863	4.24637	18.04	18.2562
4.75638	3.7196	2.51534	44.501	59.7193
4.79283	3.65403	2.54413	44.5556	59.3353
4.21882	1.30126	4.87246	26.7488	19.2331
3.66103	3.9918	4.35202	63.6007	61.5115
3.22984	1.87891	2.79798	16.9797	18.2522
2.05716	4.50716	1.10585	10.2533	13.0111
4.52771	4.77111	1.74955	37.7941	61.5685
4.39912	2.00884	3.69755	32.6759	20.0678
4.67254	1.31168	3.39201	20.7893	18.6179
2.75597	1.33611	2.51835	9.27322	18.175
1.02922	1.33025	2.55679	3.50057	18.1663
