X0	X1	X2	X3	Y_true	Y_pred	
4.06938	3.66223	2.33282	1.25913	27.6112	24.7732
1.46772	4.86522	4.10418	3.12644	9.37391	13.7769
4.8761	1.39229	4.92671	4.35131	7.68668	8.91399
4.28771	3.51147	3.79532	1.73637	32.9093	31.1694
3.4805	1.65485	2.50715	1.31877	10.9499	9.25298
3.47606	1.51156	2.75979	2.707	5.35674	4.13281
2.37332	2.73124	2.28346	2.07185	7.14417	5.68867
4.67119	2.13297	2.44695	1.80516	13.5058	13.2409
2.41581	2.85485	1.30751	2.15586	4.18285	3.9774
2.03315	3.04194	4.3096	4.68961	5.68357	3.72521
2.6537	4.93675	4.78192	4.40343	14.2267	16.1946
2.85071	1.23059	4.30808	1.4951	10.1083	10.2533
3.52754	4.97842	3.345	4.28885	13.6968	15.2184
4.63669	1.96398	2.59997	1.5481	15.2938	13.8317
3.62717	2.6727	2.82676	2.61636	10.4739	10.2802
4.9347	3.05921	1.34452	1.41699	14.3242	17.385
2.30244	1.30518	3.31214	1.84218	5.40302	4.06673
1.01384	2.36082	2.72641	3.53845	1.84422	2.91993
4.75608	1.93889	4.54936	2.66834	15.7222	16.515
3.58376	2.02647	1.25786	1.38083	6.61562	6.49384
1.96138	3.79652	3.95155	2.03898	14.4312	14.5591
1.34163	1.44744	3.98509	4.15277	1.86352	2.90061
4.71775	4.88007	2.28468	4.31713	12.1841	15.8551
3.14967	4.44037	2.49755	3.48549	10.0215	11.9659
2.15976	2.77157	1.36068	2.16962	3.75408	3.58296
3.83545	3.03943	3.74247	2.0377	21.4105	18.903
3.19648	3.74015	2.29374	1.44566	18.9687	16.5063
1.32989	4.30124	3.7904	1.21269	17.8791	18.8845
2.9454	2.57932	1.67796	1.24967	10.2009	8.90523
1.23674	4.05034	3.50643	2.04862	8.57383	11.9117
4.39955	2.13735	4.58036	3.56028	12.0976	12.4086
2.51814	1.66273	3.29282	3.3016	4.17587	3.2249
3.66811	4.61867	1.99385	3.00774	11.2308	14.6042
1.39987	4.69005	2.01497	1.85064	7.14842	11.4978
3.35089	3.80114	2.46997	3.61668	8.69874	9.19976
3.94883	1.5317	4.39851	1.53243	17.3607	15.5228
2.16253	1.92475	3.68922	1.70824	8.98928	7.30807
2.5108	3.72881	1.04206	4.3356	2.25023	3.0479
3.28148	1.91311	4.68824	3.84507	7.65447	6.16179
4.20961	2.12267	4.51991	4.98272	8.10564	5.68193
1.43525	1.95732	1.04739	3.06052	0.961396	2.88131
4.00473	1.58175	1.01891	4.53474	1.4233	2.89568
2.29991	3.41215	1.57565	3.69669	3.34492	3.24087
3.14008	2.19545	2.10603	3.23034	4.49448	3.42713
2.47971	4.54372	3.51651	3.49612	11.3328	12.8916
4.63854	1.58532	2.66475	1.7842	10.9827	11.8826
1.79501	4.39433	3.85872	3.22346	9.44239	12.0615
2.11485	2.59436	3.7149	1.3635	14.9487	12.0652
4.20026	2.86248	1.83439	1.28905	17.1097	14.9983
1.38996	1.59276	1.92405	3.66824	1.16121	2.87653
2.67913	3.46516	1.13338	3.24189	3.2456	3.64485
1.90301	2.04321	4.24736	2.12081	7.787	6.95751
3.84494	1.26389	4.67756	4.85571	4.68131	3.5078
1.49404	2.88577	3.72972	3.44833	4.66326	3.79203
1.37532	3.74797	1.04186	1.27879	4.19961	5.72152
2.62127	1.70547	2.46787	3.29206	3.35128	3.03494
2.35203	2.87583	3.39205	1.57515	14.5662	12.2235
1.80031	3.01501	2.68488	3.56702	4.08559	3.29887
1.87203	4.91696	2.08176	3.47814	5.50925	7.7969
3.34465	4.74391	3.3678	2.91417	18.3366	20.265
1.85558	1.25058	2.84211	3.15045	2.09344	2.919
4.76926	3.48723	4.81234	4.28233	18.6899	18.8385
4.08054	4.27794	2.65046	1.53417	30.158	29.9696
2.82118	4.53056	2.04207	3.49097	7.47665	9.74697
1.54373	1.12583	4.12491	1.68934	4.24368	3.90964
4.36642	2.59597	4.42042	4.76833	10.5081	9.33712
1.51152	1.18089	3.4988	3.45114	1.80959	2.9081
4.58156	3.60717	3.08712	1.5787	32.3173	31.973
4.22161	3.17607	2.37576	4.70658	6.76808	4.92226
3.04224	2.98616	2.29728	2.20427	9.46795	9.29894
3.26205	3.41613	3.07553	2.54277	13.4784	12.9501
3.34747	4.67391	1.22413	2.82043	6.79059	12.1888
2.55866	3.76017	2.17459	1.14341	18.2977	14.4847
4.80372	3.05293	3.29088	1.99991	24.1321	22.983
2.77139	1.6079	4.03983	2.08704	8.62556	7.83796
1.1718	1.29665	2.2302	2.94982	1.14875	2.8824
3.21073	4.84345	3.2251	4.14253	12.107	13.4486
4.07643	2.57089	1.06465	1.14011	9.78638	11.7839
1.41759	3.25481	4.6773	3.89836	5.53592	5.21851
3.72636	1.10302	4.43605	2.31894	7.86271	9.85082
1.76207	4.66783	2.88427	1.87513	12.6515	15.0801
1.76652	3.16038	2.17377	1.04256	11.6404	9.73433
3.21456	4.98742	1.93277	3.49038	8.87778	12.6555
2.02585	3.69124	2.35292	2.40824	7.30612	7.80106
4.56615	4.28331	2.47731	3.46742	13.9735	16.7346
1.35732	3.96947	4.664	4.10219	6.12571	7.37484
2.55008	3.38473	2.727	4.6118	5.10377	3.40256
3.80665	2.06088	4.3674	4.12286	8.31037	6.70828
2.76011	1.19463	1.00623	1.4502	2.28786	3.07766
2.58416	4.55014	1.02153	4.88374	2.45948	3.22499
4.31516	1.91141	1.61137	3.51461	3.78156	3.51649
2.98911	4.60643	4.27708	3.92868	14.9902	16.1388
4.46709	4.3171	3.72218	3.94391	18.2006	19.4469
4.78262	3.41426	3.69676	4.32411	13.96	13.6016
1.8397	4.76854	2.95299	1.34415	19.2729	20.0659
4.66981	3.42304	3.13578	1.6758	29.9111	28.81
4.52146	2.56369	1.89446	3.26987	6.71584	7.05124
1.998	3.56134	2.51295	2.71659	6.58219	6.25522
1.76458	3.53044	3.79768	4.13842	5.7168	4.43852
1.57195	3.65286	1.19017	3.63976	1.87762	3.00714
3.40989	3.27161	3.38456	4.04029	9.34526	8.10427
4.54635	3.46401	3.23576	1.94133	26.2494	24.575
1.24222	3.73789	2.37521	3.5999	3.06364	3.31358
3.48669	1.37626	2.16063	1.32986	7.79628	6.34744
4.94463	2.80065	2.88695	3.99857	9.99834	10.6201
3.71292	2.2192	1.82009	1.54603	9.70034	9.50019
4.6678	3.77788	2.15936	4.98694	7.63572	7.39574
3.62115	4.39385	4.76393	4.52023	16.7686	17.0924
1.5236	1.33987	2.1065	4.03594	1.06549	2.87349
3.41026	2.59256	1.99604	2.42605	7.27422	6.59905
3.21766	2.93867	3.70198	2.9111	12.0245	11.5761
3.78147	2.04836	1.23898	4.72457	2.03128	2.91191
4.4335	4.00609	1.76981	4.84294	6.49059	6.79561
3.94746	1.29327	1.41625	1.27353	5.6772	5.56563
1.45273	1.85329	3.21623	4.85739	1.78268	2.87971
4.65096	1.37196	4.45462	4.01654	7.0769	7.50368
2.43602	4.5631	2.93215	2.85721	11.4074	13.3278
3.38225	4.33862	3.50641	2.53623	20.2876	20.658
3.64829	3.97082	4.66885	3.63444	18.6098	18.9426
3.73255	1.03049	4.94378	2.83995	6.69575	8.93944
1.15928	3.61975	4.33618	1.84506	9.86196	12.8548
1.87294	3.53521	4.11611	2.41385	11.2905	12.3397
3.34783	3.07165	4.24845	4.91854	8.88239	6.13191
3.87184	1.55623	4.53118	3.84819	7.09491	6.22088
4.62968	3.90533	4.33846	2.40473	32.6196	30.6073
2.77676	3.47631	2.25029	1.9456	11.1646	11.5181
4.0671	3.98852	1.03902	3.3419	5.04341	9.18947
2.6934	4.46646	1.68733	1.40963	14.3999	15.8637
2.56374	1.31659	2.58036	4.37089	1.99267	2.88782
1.55608	1.23716	3.92374	3.36442	2.24517	2.95599
3.80017	2.40142	4.71447	1.63698	26.2822	23.5012
4.69437	1.88292	4.03462	3.62954	9.82565	10.6225
1.82973	1.04067	1.73904	1.27294	2.60137	3.00508
2.33658	2.12075	3.84289	1.29062	14.7547	11.6427
1.03004	1.65245	1.54279	2.27916	1.15216	2.89212
1.25807	4.48074	1.1575	2.19402	2.97394	5.43118
3.21515	2.66336	4.13542	1.60681	22.0387	17.4033
1.88074	1.73835	3.91147	1.76049	7.26396	5.82682
4.24727	3.58887	3.741	1.39787	40.7932	42.1406
3.5727	2.56028	4.7484	3.93461	11.039	10.6317
4.28587	3.31678	4.1098	1.21166	48.2164	48.8558
2.69791	2.7846	4.96416	1.20243	31.0153	25.9362
4.30286	3.2021	3.11712	1.26598	33.9248	30.5508
4.52728	3.71139	1.43708	4.55101	5.30574	5.85391
2.07848	2.42798	4.03306	1.57253	12.9428	11.4707
2.02224	1.50422	4.84502	3.45235	4.26899	3.56955
4.64952	2.01673	1.90334	1.74231	10.2434	11.6315
4.18034	2.84137	1.20048	4.72941	3.01499	3.14699
4.23815	2.82328	2.93495	2.2803	15.4006	14.4016
2.51084	4.31009	3.23815	4.58551	7.64213	6.71053
3.36404	2.46656	2.96463	3.43121	7.16931	5.19847
3.35951	1.23443	4.63868	3.26344	5.89467	5.51135
3.79417	3.95899	4.84528	4.31091	16.8831	16.7096
2.9519	1.3976	1.78321	3.2842	2.24005	2.9377
3.43377	2.79688	4.04003	1.84461	21.0341	17.5505
2.23616	2.29773	1.05081	1.96873	2.74246	3.19785
3.21256	4.05996	2.39639	2.36481	13.217	14.1011
4.1035	1.37956	2.5671	1.12734	12.8908	11.6228
4.04669	4.23804	2.2079	4.22261	8.96733	10.7767
4.82395	2.57948	2.55019	1.89469	16.7482	16.2635
1.76233	1.71002	1.25224	2.61991	1.44042	2.89955
4.79185	4.05227	2.21197	1.41529	30.3485	34.9204
4.6692	1.744	4.43663	2.20966	16.3499	16.9818
3.76909	1.36164	4.4576	2.56385	8.92297	10.3216
3.29833	3.88599	4.33499	3.61463	15.3716	15.1599
3.17238	3.44319	1.4464	2.64287	5.97805	7.00477
2.81717	2.53675	4.09636	4.80863	6.08791	3.57715
2.6904	2.907	4.89746	3.98516	9.61142	8.99736
2.91634	1.76657	1.77705	2.04334	4.48052	3.60083
4.82622	1.45779	4.06765	1.94091	14.7449	15.7667
4.37812	1.13168	2.43339	2.2308	5.4046	5.76883
2.515	4.74134	2.29203	4.93303	5.54046	4.67754
2.3991	2.10819	4.93183	3.56446	6.99799	5.66333
1.49678	3.05002	2.23151	2.79829	3.64056	3.39408
2.68855	3.75495	4.32154	2.50648	17.4059	17.1369
2.07033	2.14984	1.91316	1.89215	4.50031	3.50369
2.90821	3.06037	2.87747	1.33493	19.1845	14.0783
3.88855	4.17097	3.06944	2.68845	18.5175	19.4888
4.69111	3.84913	2.47878	1.12714	39.71	43.8613
1.05076	4.24085	3.27829	3.95361	3.69496	4.24416
1.7205	3.83307	4.26712	3.15886	8.9085	10.976
2.94848	3.01209	4.90595	4.39755	9.90781	8.84578
4.65825	2.77003	3.8673	1.53412	32.5279	32.2585
1.69667	1.36628	1.68643	1.57358	2.48437	2.98858
4.83099	4.22044	2.01395	4.91567	8.35334	10.3035
1.05066	4.81778	1.31048	2.96563	2.23678	4.30516
4.11891	4.157	4.42815	1.26153	60.1018	52.781
3.80475	3.1229	2.52148	2.94478	10.1739	10.749
4.31789	1.18055	4.25774	4.65536	4.6621	3.72749
1.14037	4.65672	3.0924	4.27483	3.84151	4.44497
2.47515	3.01152	2.0563	3.12071	4.91158	3.83437
2.12165	1.74276	2.4727	1.64056	5.57303	3.83268
3.00049	3.53402	2.00157	4.38291	4.8425	3.61568
3.17781	2.44739	4.39025	2.53666	13.4604	12.5906
3.85262	1.00538	4.52447	3.56477	4.91611	4.9505
1.91103	2.34936	2.86546	3.65482	3.52001	3.04528
4.27084	1.89662	4.51742	1.81478	20.1632	19.0942
1.51283	2.04242	1.14417	4.51689	0.782682	2.87197
3.88219	1.72011	3.75173	1.01314	24.7284	17.0205
3.5296	2.43793	2.55986	4.74457	4.64264	3.15126
4.7265	2.09427	1.51762	3.56299	4.21621	4.14448
3.24381	4.00574	4.91179	4.28247	14.9033	14.6812
3.22616	3.76669	1.40658	1.18954	14.3692	14.323
2.74579	3.21323	4.41826	1.3974	27.8959	22.8004
1.22054	1.01419	3.93531	4.15455	1.17253	2.88236
4.778	1.48173	4.74301	4.45957	7.5297	7.72967
1.33466	2.18988	1.20273	3.13002	1.12309	2.88623
3.89681	4.37705	2.62188	3.04816	14.6712	16.7661
4.59685	4.36106	4.20373	3.4038	24.7585	23.306
1.47502	3.14612	4.47189	3.56007	5.82916	5.51112
1.36547	3.62165	4.40728	2.50669	8.69475	11.6097
2.73724	3.59506	2.08808	4.25892	4.82466	3.63015
1.08459	3.04453	1.43322	3.10533	1.52401	2.94047
3.50027	3.83822	1.65875	2.74976	8.10433	10.8541
3.23687	1.41629	4.8757	2.36986	9.43173	10.7287
3.092	3.8477	1.29995	1.61067	9.60194	12.413
2.80184	3.28939	1.97664	1.17652	15.4842	12.6826
2.93692	4.35181	3.78021	3.7737	12.803	13.4007
3.07939	3.08536	2.59054	4.25912	5.77885	3.80376
3.71749	2.0367	2.8868	3.73177	5.85704	4.02351
2.2915	3.1746	2.88026	2.46625	8.49577	7.93632
4.5793	4.40103	1.98572	1.1126	35.9692	44.0755
4.40771	4.09549	2.33274	1.49315	28.2021	29.199
