X0	X1	X2	Y_true	Y_pred	
1.06266	1.97059	1.78213	0.36956	0.18288
1.16563	2.85048	1.05104	0.103957	0.17403
1.73531	2.0857	2.52804	0.222548	0.186619
2.40893	2.65953	1.65212	0.151743	0.17403
1.97395	1.1798	1.3943	0.200913	0.177991
2.28483	1.43925	2.11841	0.167059	0.184932
1.62489	1.98128	2.62007	0.227262	0.187059
1.0376	1.82817	2.48581	0.31452	0.187229
2.90261	1.78397	2.57765	0.132399	0.185784
2.83653	1.15564	2.85472	0.117547	0.174076
2.41429	2.77684	1.98544	0.156598	0.174046
2.08264	1.38986	1.13681	0.190147	0.17403
1.85092	1.48746	1.74971	0.213384	0.182333
2.08077	2.70581	1.40462	0.157678	0.17403
1.50812	1.27905	2.76851	0.162431	0.187408
1.41999	1.86815	1.63859	0.277299	0.179822
1.79804	1.46238	2.1207	0.207492	0.18606
1.52155	2.6168	1.98781	0.240722	0.179179
2.27687	2.0382	1.92742	0.175008	0.17898
1.68788	1.01368	2.87794	0.12843	0.18496
2.94537	1.40674	2.35467	0.128611	0.179484
2.44683	1.75652	1.88491	0.16282	0.179651
2.50078	2.84007	2.87566	0.159511	0.18537
1.98827	2.05093	1.57892	0.195073	0.174868
2.86556	1.79347	1.54182	0.138684	0.17403
2.62441	2.55565	1.16126	0.132002	0.17403
1.9592	1.49711	2.66617	0.170418	0.187251
1.28103	2.27855	1.21286	0.220329	0.17403
2.658	2.38724	1.53844	0.14263	0.17403
2.38014	2.44979	2.72204	0.16652	0.185826
2.34001	2.89881	1.11858	0.127647	0.17403
1.29432	2.97892	1.1219	0.110122	0.17403
2.97772	1.70528	2.91753	0.123321	0.186549
1.62305	1.08962	1.78102	0.224477	0.184932
1.37412	1.81841	2.19892	0.279405	0.186253
1.41225	2.27271	2.21221	0.282228	0.184853
2.67352	1.5636	1.30087	0.148501	0.17403
2.18735	1.37277	2.00186	0.174997	0.18441
2.21551	2.39219	2.60145	0.179267	0.18555
1.3123	1.53865	2.3461	0.251574	0.187113
1.3053	2.6067	2.27309	0.295812	0.184221
2.39746	1.09993	2.35627	0.145054	0.175543
1.62998	1.07813	1.32459	0.241971	0.179504
1.91949	2.06894	1.59368	0.201563	0.175223
1.30991	1.81461	1.08123	0.260377	0.17403
2.95934	2.80992	2.52185	0.134171	0.17932
