X0	X1	Y_true	Y_pred	
1.52513	3.51013	5.3534	5.31668
1.01428	2.54118	2.57746	4.87821
4.46946	2.36196	10.5567	10.5565
4.84537	4.62387	22.4043	17.191
4.80194	3.35143	16.0934	16.6156
2.1847	3.82622	8.35914	8.1274
2.79543	2.54578	7.11655	5.6459
2.59279	3.90531	10.1257	9.95656
2.62519	1.08532	2.84917	4.87821
4.59049	1.67888	7.70689	8.65305
4.18072	2.86982	11.9979	11.1964
1.81172	4.33056	7.84577	8.82026
2.97188	4.70772	13.9908	14.9545
3.63376	2.2363	8.12618	7.10149
1.48441	3.24724	4.82022	5.08776
4.34731	4.15013	18.0419	17.0951
1.54796	3.57512	5.53414	5.41966
1.91551	2.2286	4.26889	4.91592
3.26665	2.4667	8.05784	6.64461
3.00781	2.85633	8.59131	7.23574
1.94481	3.87806	7.5421	7.33189
4.71165	4.63992	21.8617	17.19
3.59161	1.80519	6.48353	5.66126
4.2817	2.014	8.62333	8.84823
3.38627	3.81089	12.9047	11.9115
2.31166	3.6647	8.47154	7.93193
4.58183	4.48741	20.5606	17.1845
3.17577	4.16768	13.2356	12.7139
1.81794	4.38522	7.97205	9.07476
4.86785	1.18954	5.79052	7.6045
1.49165	3.3182	4.94959	5.13202
3.61109	2.04412	7.38148	6.3052
2.75543	4.65458	12.8254	13.266
2.0417	2.51957	5.14422	5.00376
2.43376	2.7879	6.78506	5.48364
4.25652	2.68728	11.4384	10.8785
1.81505	2.16486	3.92935	4.89757
4.44519	1.68933	7.50939	8.07702
1.14386	2.01808	2.30841	4.87821
4.76943	4.11302	19.6168	17.1741
2.23097	4.06346	9.06546	9.33809
3.00646	2.68199	8.06328	6.53793
4.18387	1.1115	4.65036	5.44049
3.45542	3.76673	13.0156	12.005
1.31776	3.86749	5.09641	5.52938
4.73178	1.35222	6.39839	7.76377
2.2163	3.21646	7.12862	5.91466
2.59784	1.05826	2.74919	4.87821
4.21154	4.86351	20.4829	17.1854
2.37047	1.88187	4.46091	4.92786
2.75691	4.7394	13.0661	13.8277
4.35406	3.46117	15.0701	15.2819
3.91593	3.95172	15.4747	15.7181
4.49085	2.96515	13.316	12.9141
3.68423	2.52469	9.30152	8.62394
4.26146	3.55935	15.168	15.3471
2.7057	3.6834	9.96618	9.58064
