X0	X1	X2	Y_true	Y_pred	
4.77258	1.08837	7.61114	5.24828	6.27401
3.69848	1.85067	6.43747	7.14633	6.70364
4.48148	1.74662	3.00259	9.62315	6.72534
3.79293	1.49166	4.76179	5.95762	5.79098
1.51842	1.62488	7.46038	2.52794	2.56088
1.87487	1.96044	5.79926	3.9055	4.48916
4.04679	1.0598	3.17053	4.55055	3.49941
2.08777	1.92846	6.43224	4.22031	5.01804
2.91245	1.57347	8.1045	4.67154	5.40279
4.46966	1.74597	7.16201	8.04665	6.88488
3.60821	1.87121	5.45361	7.18807	6.61981
1.36512	1.25882	7.60289	1.7425	1.90628
2.58655	1.02138	8.94427	2.65923	2.335
4.5241	1.67055	3.40144	8.67622	6.68752
3.08554	1.6295	3.98285	5.51014	4.84033
1.84775	1.88024	6.05996	3.65458	4.02029
1.7446	1.41229	6.78595	2.51905	2.195
1.97303	1.66829	6.20191	3.41756	3.17305
4.56156	1.89263	9.83876	8.79764	6.9892
4.35387	1.6004	5.18133	7.32617	6.64111
2.34801	1.39625	7.35068	3.3392	2.92454
1.22593	1.96263	8.04041	2.48109	3.6707
2.83542	1.58903	5.2252	4.72959	4.40549
1.01039	1.9259	8.51132	1.99772	3.15495
2.39457	1.92974	7.5617	4.77914	5.89367
1.79322	1.78922	3.75197	3.65023	2.79126
3.34806	1.15445	3.45554	4.1008	2.71739
1.10147	1.17532	3.03902	1.40381	1.74964
1.93674	1.28119	3.84974	2.63132	1.93822
4.26105	1.53523	3.05818	7.56388	6.23462
3.18642	1.15891	5.1597	3.78959	2.84493
1.82615	1.87885	4.32636	3.809	3.40504
4.41912	1.17472	4.07062	5.42193	5.33804
1.84619	1.40314	5.80373	2.66966	2.15742
1.84829	1.04941	7.72041	1.95778	1.90184
1.39699	1.0367	7.94	1.46076	1.81237
3.72319	1.66019	3.06211	7.3562	5.95626
1.12534	1.36657	8.11001	1.56018	1.93406
2.6231	1.55921	4.1738	4.40918	3.38016
4.58156	1.35862	3.28112	6.8384	6.14209
4.88592	1.24706	8.8538	6.15437	6.71763
3.64905	1.40514	4.10941	5.45629	4.90647
3.04144	1.96712	7.96258	6.17424	6.62811
2.92185	1.23971	4.88384	3.7449	2.69037
1.88336	1.73597	6.07509	3.41172	3.29237
3.50043	1.93857	3.49164	8.15886	6.48852
3.65817	1.97206	5.56471	7.71481	6.75753
3.55423	1.92147	7.02667	7.09994	6.74779
1.50785	1.5785	4.86953	2.51598	2.13556
2.88684	1.49597	5.02645	4.52361	3.89745
1.33385	1.73007	7.27442	2.37583	2.62275
1.59286	1.43032	6.30015	2.33939	2.08846
4.00934	1.3159	9.68743	5.32526	6.35281
2.6414	1.87602	3.62602	5.79057	5.10162
3.0114	1.40344	9.43565	4.27387	5.1174
4.50056	1.06593	9.83051	4.82573	6.25272
4.95061	1.86469	5.05607	9.93145	6.95756
2.42523	1.96886	3.76695	5.60087	5.17172
4.56152	1.65002	3.26741	8.72017	6.67309
3.15718	1.18684	4.38658	3.89225	2.74253
2.40626	1.50247	8.67372	3.67083	3.99167
1.56456	1.20834	4.66298	1.95739	1.83425
4.1643	1.22772	8.00893	5.17375	6.03441
4.13108	1.91418	8.03622	8.14198	6.91948
2.34293	1.98731	5.73929	4.96318	5.63401
4.54565	1.1358	7.39198	5.225	6.12118
2.55628	1.12282	8.5304	2.89543	2.5001
1.57448	1.3031	8.07986	2.07892	2.04509
3.34011	1.49772	8.40089	5.08399	5.88911
4.34808	1.13688	3.70735	5.19346	4.86582
3.65683	1.22357	4.15202	4.68233	3.84486
2.79758	1.46417	7.12226	4.18554	4.19686
4.45535	1.70211	4.26316	8.27138	6.74011
4.70684	1.31934	7.33752	6.31282	6.61919
1.02888	1.03842	5.75911	1.08622	1.74739
4.44964	1.35001	3.72236	6.44593	6.02825
3.07326	1.87177	5.39515	6.13338	6.19586
4.72479	1.06538	7.3102	5.08802	6.11443
3.90837	1.16528	4.4413	4.71971	4.20814
2.47388	1.22975	5.63881	3.11729	2.28717
2.99883	1.01863	4.03971	3.1567	2.13381
3.09791	1.39212	5.13601	4.48038	3.82587
2.36255	1.55345	3.0841	4.24842	2.64318
3.42783	1.80679	6.88978	6.41799	6.53691
1.61797	1.2573	8.14055	2.05898	2.0176
2.51559	1.62504	7.71437	4.18177	4.68188
4.57855	1.7827	9.8704	8.29864	6.96717
2.45279	1.5172	3.50798	4.12738	2.7256
3.91912	1.52934	4.12688	6.45313	5.98441
2.49525	1.48482	7.81913	3.77365	3.81601
1.46991	1.03694	6.39138	1.54467	1.79388
1.61931	1.20482	6.63471	1.98396	1.90294
3.97554	1.71399	5.13567	7.22849	6.58415
