X0	X1	Y_true	Y_pred	
2.04994	4.74746	23.1012	27.8092
4.36359	2.69995	15.9047	16.9489
1.77987	3.91019	13.6068	8.71329
3.42295	4.66504	37.2461	34.4333
3.25255	4.82057	37.7911	34.4825
3.1825	4.29461	29.3485	32.1431
4.05354	4.41036	39.4234	34.916
4.14843	4.23161	37.142	34.734
3.93574	2.13472	8.96765	6.26558
1.66125	2.41787	4.85592	6.26558
1.8387	3.24007	9.65143	6.33334
4.25157	1.11765	2.65539	6.26558
4.72526	1.28536	3.90342	6.26558
3.17089	2.59827	10.7034	6.5646
2.27462	2.54225	7.35049	6.26558
3.58067	4.94265	43.7375	35.1415
2.05807	3.22649	10.7125	6.47874
1.9579	2.79476	7.64628	6.26558
4.68051	1.98565	9.22713	6.26558
1.41049	3.25582	7.47587	6.26558
3.64147	1.6685	5.06875	6.26558
4.28422	1.27694	3.4929	6.26558
4.02217	3.43498	23.729	30.6073
2.33437	3.38125	13.3443	7.92107
2.77338	3.62735	18.2456	17.3333
1.63748	3.12608	8.00103	6.26558
2.51746	3.1583	12.5556	7.40018
4.48299	4.36258	42.6604	35.2925
1.8257	4.17178	15.887	13.0667
4.77152	2.35857	13.2716	6.26558
1.79957	4.61326	19.1493	22.022
2.35346	4.41169	22.9027	26.3808
2.63596	1.32343	2.30839	6.26558
2.90982	2.33385	7.92469	6.26558
4.15826	2.32636	11.2521	6.26558
1.6692	1.02562	0.877916	6.26558
2.43486	3.0652	11.4383	6.74789
1.59933	2.58394	5.33916	6.26558
2.53313	1.53577	2.9873	6.26558
3.45434	2.6097	11.763	7.20199
3.22674	3.39921	18.642	20.194
1.17198	3.82705	8.5826	6.37256
2.31153	3.84629	17.0983	14.216
2.55271	4.44028	25.1648	28.9761
3.54902	4.30936	32.9538	33.6593
4.49233	4.42711	44.0232	35.362
1.11544	3.14172	5.50492	6.26558
4.66643	2.62386	16.0634	11.4739
4.938	4.75256	55.7669	35.7565
3.59911	4.92347	43.6222	35.1357
4.71803	3.5515	29.7545	34.1894
1.74824	1.54471	2.08577	6.26558
3.61338	1.7655	5.63141	6.26558
3.45062	3.01645	15.6986	15.3608
3.56639	1.13937	2.31488	6.26558
3.17968	3.20264	16.3068	15.0365
1.00907	2.15323	2.33922	6.26558
3.58463	1.34145	3.22525	6.26558
1.95509	3.46752	11.7537	6.82656
1.13769	1.84419	1.93467	6.26558
3.06381	1.49497	3.42371	6.26558
3.615	3.48452	21.9464	27.4425
2.01336	4.50183	20.4018	23.1849
3.32027	2.50782	10.4408	6.33409
2.91814	4.48264	29.3187	32.005
4.06231	1.36969	3.81055	6.26558
3.10599	4.2109	27.5373	31.0783
2.58424	3.02344	11.8115	6.99363
4.64437	1.94555	8.78982	6.26558
3.85213	4.9237	46.6932	35.3532
2.79277	2.84727	11.3204	6.88056
4.69475	1.21197	3.44797	6.26558
2.18844	4.63248	23.4818	27.7328
3.30102	2.235	8.24467	6.26558
4.24389	2.27282	10.9613	6.26558
1.17768	1.96655	2.27724	6.26558
1.29311	4.22509	11.5419	8.08158
2.10325	3.01307	9.54724	6.32229
4.01073	2.59784	13.5338	8.88112
1.41659	4.36441	13.4916	10.8218
4.88471	1.00684	2.47587	6.26558
4.52575	2.41986	13.2508	6.26558
2.10732	3.41938	12.3196	7.09559
3.77792	1.99876	7.54646	6.26558
1.29105	1.50267	1.45761	6.26558
1.96707	1.39858	1.92383	6.26558
3.01052	4.97423	37.2447	34.3921
2.82666	2.03642	5.86109	6.26558
3.30866	2.75299	12.5381	8.4713
4.3562	3.82784	31.9143	34.1726
2.327	3.45019	13.8501	8.44857
2.01256	3.16736	10.0952	6.376
1.08343	2.25489	2.75437	6.26558
1.19313	1.57557	1.48094	6.26558
1.39498	2.34635	3.83994	6.26558
3.0094	1.89368	5.39589	6.26558
1.63225	1.47107	1.76614	6.26558
2.39177	3.45225	14.2526	8.98247
4.95946	1.53124	5.81424	6.26558
4.5688	4.01238	36.777	34.9309
2.13002	3.54551	13.3878	7.94141
1.46323	4.38007	14.0361	11.6645
2.18209	1.72985	3.26482	6.26558
1.05122	1.31391	0.907392	6.26558
1.8103	2.9242	7.7399	6.26558
4.978	2.73327	18.5947	21.7888
1.14142	3.12912	5.58803	6.26558
2.14452	2.66852	7.63557	6.26558
1.42334	2.26436	3.64897	6.26558
4.40444	4.78757	50.4767	35.5785
4.01958	2.85038	16.3289	19.9254
4.36045	1.8701	7.62484	6.26558
1.95032	4.45817	19.3815	21.2705
3.66229	2.10813	8.13804	6.26558
4.65946	2.21094	11.3883	6.26558
3.66754	2.21624	9.00698	6.26558
3.56408	2.40507	10.308	6.26558
4.2289	3.45675	25.2658	32.0566
1.98502	2.75995	7.56024	6.26558
2.75338	3.50856	16.947	14.452
2.79801	4.81652	32.4554	33.3087
3.65644	3.41436	21.3131	26.8765
3.82214	3.75183	26.9006	31.8949
2.00964	4.71683	22.3557	26.9004
3.51068	3.87616	26.3733	30.9526
1.45506	4.37855	13.948	11.5312
1.28495	4.3282	12.0357	8.99255
1.79022	2.84993	7.27016	6.26558
3.02567	4.44365	29.8724	32.3015
3.5058	1.03082	1.8626	6.26558
3.82491	2.57171	12.6483	7.51712
3.06976	1.70111	4.44162	6.26558
2.31364	2.18424	5.51905	6.26558
3.44226	1.91025	6.2805	6.26558
2.32752	3.88514	17.5661	15.2823
4.73497	1.53499	5.57823	6.26558
4.57971	4.63041	49.096	35.5672
2.00935	1.70981	2.93711	6.26558
3.48216	3.09711	16.7006	17.7899
2.28783	1.89252	4.09709	6.26558
2.94786	4.58423	30.9749	32.757
2.7938	3.46837	16.8042	14.2842
1.84193	2.06181	3.91508	6.26558
1.60873	1.10702	0.985748	6.26558
2.46385	4.08244	20.5316	21.9049
2.19919	3.74952	15.4591	10.8801
1.68212	2.93046	7.22267	6.26558
4.32916	3.19996	22.1647	30.5312
3.13969	4.58013	32.9316	33.4518
1.22995	2.72976	4.58255	6.26558
4.94954	1.08142	2.89418	6.26558
3.78422	2.17981	8.99052	6.26558
4.21342	1.93705	7.90471	6.26558
2.8603	2.45166	8.59612	6.26558
2.98232	2.30701	7.93641	6.26558
4.85972	2.5431	15.7148	6.33202
2.18191	3.82674	15.9759	11.9174
1.14548	4.98083	14.2089	18.8027
3.91161	1.88621	6.95837	6.26558
2.63207	4.07588	21.863	24.3908
2.20626	1.43067	2.25791	6.26558
2.80913	3.17582	14.1662	9.57949
2.60335	3.08783	12.411	7.37559
1.08227	4.59221	11.4117	10.2863
1.11554	1.42915	1.13923	6.26558
2.21439	2.5829	7.3865	6.26558
1.1904	4.60273	12.6095	11.7826
4.09028	4.57857	42.8729	35.1887
4.36567	3.83431	32.0919	34.2119
1.46571	1.21795	1.08712	6.26558
2.53297	4.1525	21.8384	24.3591
4.42756	3.71946	30.6263	34.0175
2.67232	1.89626	4.80458	6.26558
1.18951	2.57853	3.95442	6.26558
2.89721	4.3423	27.3143	30.7877
2.29885	4.92614	27.8929	31.6821
1.81217	2.03139	3.73899	6.26558
1.53038	1.73725	2.30937	6.26558
1.68413	4.74538	18.9621	22.8529
4.8165	4.81826	55.909	35.7457
2.62809	4.23866	23.6085	27.063
1.29285	3.9475	10.0731	6.7026
3.48785	4.77333	39.7348	34.7706
2.26041	3.57902	14.4772	9.23865
3.43428	3.79207	24.6921	29.5379
2.79861	1.16269	1.89164	6.26558
2.72821	4.91244	32.9186	33.4804
1.60604	2.35536	4.45492	6.26558
2.72434	3.03457	12.5437	7.61193
1.93783	1.39852	1.89506	6.26558
3.71583	2.59713	12.5318	7.81116
2.56432	2.28062	6.66882	6.26558
3.38268	1.86244	5.86673	6.26558
3.30077	2.3738	9.29979	6.26558
1.82758	4.32231	17.0718	16.1798
2.36633	2.7294	8.81416	6.28397
4.62743	2.04153	9.64319	6.26558
2.23252	1.97737	4.36457	6.26558
2.13452	2.73484	7.98241	6.26558
3.18379	1.15955	2.1404	6.26558
1.00898	3.12532	4.92765	6.26558
1.47702	2.81682	5.85969	6.26558
2.45801	3.72192	17.025	14.0435
1.89928	1.486	2.097	6.26558
3.22921	1.17491	2.22883	6.26558
3.90733	4.06151	32.2274	33.788
4.92151	2.05827	10.425	6.26558
3.15089	1.46207	3.36773	6.26558
3.96726	4.81356	45.9613	35.3352
3.38855	4.76436	38.4587	34.5969
3.18762	3.86791	23.8446	28.0806
4.728	3.4319	27.843	33.8232
1.423	1.14201	0.927927	6.26558
2.97153	2.34665	8.18178	6.26558
1.32676	2.26897	3.41524	6.26558
2.50147	3.10588	12.0652	7.07591
1.27982	3.34122	7.1438	6.26558
4.75225	1.22473	3.56409	6.26558
1.88767	2.56112	6.19092	6.26558
4.88397	4.64496	52.6873	35.6985
1.00262	1.61183	1.3024	6.26558
3.08447	1.30809	2.63891	6.26558
3.37852	4.26759	30.7653	32.882
1.42975	1.09448	0.856335	6.26558
1.00439	1.73275	1.5078	6.26558
2.5726	4.68107	28.186	31.4675
