X0	X1	X2	X3	Y_true	Y_pred	
7.10806	1.86054	8.18729	1.6355	4.17437	4.83212
7.68639	1.63372	7.4614	1.26251	5.76365	6.78949
7.3983	1.28541	3.56364	1.24497	6.21648	6.78949
5.67485	1.82222	4.69239	1.95447	2.29336	2.37051
7.90032	1.91445	6.94031	1.16049	5.90783	6.78949
5.95928	1.75621	14.5908	1.04936	4.14653	4.83185
6.4823	1.89619	13.9754	1.94603	2.81832	4.83212
5.40457	1.78302	15.4216	1.72901	2.33739	4.83212
8.02938	1.00083	3.44022	1.12123	7.21948	6.78949
9.08533	1.06737	3.59338	1.88136	7.41175	4.83125
6.45356	1.88307	3.02889	1.25297	5.22707	6.31319
8.86345	1.60197	7.13661	1.47328	6.6736	6.78949
6.70102	1.43844	16.1174	1.91863	3.95697	4.83212
6.68349	1.65709	13.187	1.95734	3.46748	4.83212
8.44804	1.97626	15.951	1.26514	5.99398	6.78949
8.97831	1.48274	12.4796	1.51439	6.78089	6.78949
7.62214	1.3073	12.1888	1.97435	5.07032	4.83212
7.91193	1.17793	5.66198	1.36075	6.4502	6.78949
6.50413	1.18217	3.14404	1.82604	4.68956	0.662666
6.11212	1.06727	15.4009	1.18977	4.85398	4.83212
7.3623	1.34688	18.6308	1.4639	5.40475	4.83212
8.28269	1.73779	9.85165	1.4048	5.93451	6.78949
6.90166	1.54596	12.0114	1.9356	3.94209	4.83212
5.05804	1.77843	12.9984	1.37887	2.63055	4.83212
9.60512	1.93076	16.5124	1.48383	6.78675	6.78949
9.43059	1.82167	16.9048	1.52083	6.69913	6.7886
9.40476	1.18473	7.90761	1.07681	8.22183	6.78949
5.21377	1.62209	7.11076	1.5429	2.78447	4.77187
8.75835	1.76484	7.06271	1.23938	6.78633	6.78949
5.18448	1.90098	10.9316	1.67232	2.03646	4.83201
6.42059	1.23167	12.2001	1.9287	4.06584	4.83212
5.60541	1.46874	7.22703	1.2623	3.83137	4.83212
9.18123	1.38056	10.9532	1.3701	7.34833	6.78949
9.11186	1.22161	11.388	1.06185	7.86005	6.78949
9.25136	1.68499	6.45316	1.94439	6.18981	4.83212
5.91049	1.98778	5.6003	1.73369	2.63591	3.99234
6.649	1.55482	18.4134	1.07498	4.99545	4.68687
5.05993	1.44134	18.422	1.32007	3.16698	4.83212
5.26397	1.23932	5.03475	1.13136	3.98445	4.82789
7.81295	1.27817	18.2627	1.72703	5.61928	4.83212
7.46654	1.07227	4.28756	1.72867	5.79715	4.81088
5.84782	1.00359	9.04307	1.26308	4.60867	4.83212
5.67696	1.17311	14.3579	1.85102	3.51727	4.83212
5.11666	1.35164	12.4016	1.73679	2.78575	4.83212
7.65097	1.55595	9.88341	1.44011	5.47855	4.8292
9.67546	1.3045	16.3998	1.08687	8.28389	6.78949
6.25722	1.37947	15.5139	1.92349	3.61815	4.83212
8.18493	1.80909	4.35433	1.71695	5.58353	4.83156
7.66566	1.76297	17.5317	1.84371	4.43775	4.83212
7.85885	1.3971	10.2892	1.64381	5.61428	4.83212
5.70459	1.65584	7.33154	1.41329	3.45365	4.83164
5.22313	1.54936	3.60601	1.69661	2.87321	2.31468
6.77427	1.28784	3.14971	1.19839	5.73196	6.78941
7.36372	1.30877	18.6543	1.88811	4.90469	4.83212
8.77391	1.25791	19.0566	1.56425	6.8211	4.83212
6.83934	1.31675	5.34781	1.09729	5.56585	6.78949
9.30203	1.03459	5.21881	1.75984	7.6328	6.78764
9.97336	1.88954	3.5685	1.69512	7.98104	6.78949
9.91232	1.22143	13.7785	1.52881	8.07678	6.78949
9.68457	1.55915	7.27251	1.33808	7.77919	6.78949
7.97004	1.54586	11.8636	1.44834	5.78039	4.8046
8.00937	1.50168	14.5674	1.96129	5.09127	4.83212
8.56986	1.36539	5.96186	1.53309	6.65344	6.78949
8.79222	1.70218	18.6122	1.49644	6.27129	4.83106
9.20746	1.38763	4.28191	1.40682	7.66919	6.78949
7.09697	1.91497	10.5199	1.61275	4.07672	4.83212
6.27366	1.87432	16.0502	1.52679	3.43546	4.83212
7.42871	1.13664	5.6752	1.65872	5.65799	4.83179
8.63075	1.59722	13.6184	1.54274	6.20952	4.82039
8.04658	1.38038	11.5641	1.63881	5.82606	4.83212
5.07574	1.31171	17.0796	1.9418	2.53616	4.83212
8.7417	1.97602	9.85077	1.98939	4.91043	4.83212
5.2146	1.52457	13.3437	1.99905	2.18119	4.83164
9.34607	1.72528	7.05788	1.29727	7.33029	6.78949
6.23024	1.85407	14.097	1.41239	3.64322	4.83212
7.14227	1.1925	8.63553	1.09422	5.89388	6.78949
7.59319	1.85501	7.32735	1.43253	5.10204	4.79288
6.16832	1.36001	18.2158	1.25621	4.47234	4.83212
8.64115	1.59403	6.90936	1.23631	6.85536	6.78949
5.16946	1.90909	11.4785	1.63129	2.08422	4.83212
9.06169	1.88597	16.05	1.85743	5.59741	4.83212
7.7939	1.15813	19.0607	1.78679	5.73516	4.83212
7.92109	1.08799	12.3893	1.95129	5.82059	4.83212
8.62737	1.1697	14.6645	1.68656	6.67586	4.83212
7.81364	1.32407	11.1521	1.03857	6.48436	6.78949
5.95141	1.46274	17.2112	1.19425	4.2198	4.83212
5.31672	1.26324	18.5196	1.90928	2.91162	4.83212
