X0	X1	X2	X3	Y_true	Y_pred	
4.06938	3.66223	2.33282	1.25913	27.6112	22.6525
1.46772	4.86522	4.10418	3.12644	9.37391	15.5769
4.8761	1.39229	4.92671	4.35131	7.68668	8.12995
4.28771	3.51147	3.79532	1.73637	32.9093	28.9686
3.4805	1.65485	2.50715	1.31877	10.9499	8.16374
3.47606	1.51156	2.75979	2.707	5.35674	5.58413
2.37332	2.73124	2.28346	2.07185	7.14417	6.34811
4.67119	2.13297	2.44695	1.80516	13.5058	8.32524
2.41581	2.85485	1.30751	2.15586	4.18285	5.45563
2.03315	3.04194	4.3096	4.68961	5.68357	5.37477
2.6537	4.93675	4.78192	4.40343	14.2267	15.2328
2.85071	1.23059	4.30808	1.4951	10.1083	8.65956
3.52754	4.97842	3.345	4.28885	13.6968	10.7174
4.63669	1.96398	2.59997	1.5481	15.2938	8.59063
3.62717	2.6727	2.82676	2.61636	10.4739	8.17141
4.9347	3.05921	1.34452	1.41699	14.3242	14.5503
2.30244	1.30518	3.31214	1.84218	5.40302	8.1241
1.01384	2.36082	2.72641	3.53845	1.84422	2.14885
4.75608	1.93889	4.54936	2.66834	15.7222	13.0831
3.58376	2.02647	1.25786	1.38083	6.61562	4.20152
1.96138	3.79652	3.95155	2.03898	14.4312	19.2382
1.34163	1.44744	3.98509	4.15277	1.86352	2.1468
4.71775	4.88007	2.28468	4.31713	12.1841	8.25878
3.14967	4.44037	2.49755	3.48549	10.0215	7.68968
2.15976	2.77157	1.36068	2.16962	3.75408	5.39189
3.83545	3.03943	3.74247	2.0377	21.4105	19.9468
3.19648	3.74015	2.29374	1.44566	18.9687	17.3986
1.32989	4.30124	3.7904	1.21269	17.8791	24.3815
2.9454	2.57932	1.67796	1.24967	10.2009	8.09381
1.23674	4.05034	3.50643	2.04862	8.57383	14.5889
4.39955	2.13735	4.58036	3.56028	12.0976	8.24948
2.51814	1.66273	3.29282	3.3016	4.17587	5.35205
3.66811	4.61867	1.99385	3.00774	11.2308	10.4035
1.39987	4.69005	2.01497	1.85064	7.14842	10.8612
3.35089	3.80114	2.46997	3.61668	8.69874	6.13781
3.94883	1.5317	4.39851	1.53243	17.3607	19.3117
2.16253	1.92475	3.68922	1.70824	8.98928	8.18405
2.5108	3.72881	1.04206	4.3356	2.25023	5.23667
3.28148	1.91311	4.68824	3.84507	7.65447	5.96176
4.20961	2.12267	4.51991	4.98272	8.10564	5.60957
1.43525	1.95732	1.04739	3.06052	0.961396	0.668144
4.00473	1.58175	1.01891	4.53474	1.4233	4.33339
2.29991	3.41215	1.57565	3.69669	3.34492	5.26069
3.14008	2.19545	2.10603	3.23034	4.49448	5.30827
2.47971	4.54372	3.51651	3.49612	11.3328	11.3282
4.63854	1.58532	2.66475	1.7842	10.9827	8.20551
1.79501	4.39433	3.85872	3.22346	9.44239	12.0838
2.11485	2.59436	3.7149	1.3635	14.9487	9.74572
4.20026	2.86248	1.83439	1.28905	17.1097	14.6797
1.38996	1.59276	1.92405	3.66824	1.16121	2.13473
2.67913	3.46516	1.13338	3.24189	3.2456	5.28902
1.90301	2.04321	4.24736	2.12081	7.787	8.18601
3.84494	1.26389	4.67756	4.85571	4.68131	5.3483
1.49404	2.88577	3.72972	3.44833	4.66326	5.63673
1.37532	3.74797	1.04186	1.27879	4.19961	6.30804
2.62127	1.70547	2.46787	3.29206	3.35128	5.26557
2.35203	2.87583	3.39205	1.57515	14.5662	18.462
1.80031	3.01501	2.68488	3.56702	4.08559	5.31839
1.87203	4.91696	2.08176	3.47814	5.50925	5.92679
3.34465	4.74391	3.3678	2.91417	18.3366	19.5872
1.85558	1.25058	2.84211	3.15045	2.09344	2.20979
4.76926	3.48723	4.81234	4.28233	18.6899	16.5579
4.08054	4.27794	2.65046	1.53417	30.158	24.8204
2.82118	4.53056	2.04207	3.49097	7.47665	6.18864
1.54373	1.12583	4.12491	1.68934	4.24368	8.13304
4.36642	2.59597	4.42042	4.76833	10.5081	6.39481
1.51152	1.18089	3.4988	3.45114	1.80959	2.15354
4.58156	3.60717	3.08712	1.5787	32.3173	29.648
4.22161	3.17607	2.37576	4.70658	6.76808	5.31184
3.04224	2.98616	2.29728	2.20427	9.46795	7.67282
3.26205	3.41613	3.07553	2.54277	13.4784	12.5642
3.34747	4.67391	1.22413	2.82043	6.79059	7.15962
2.55866	3.76017	2.17459	1.14341	18.2977	16.4821
4.80372	3.05293	3.29088	1.99991	24.1321	22.745
2.77139	1.6079	4.03983	2.08704	8.62556	8.18336
1.1718	1.29665	2.2302	2.94982	1.14875	2.13794
3.21073	4.84345	3.2251	4.14253	12.107	9.20993
4.07643	2.57089	1.06465	1.14011	9.78638	5.03544
1.41759	3.25481	4.6773	3.89836	5.53592	6.51903
3.72636	1.10302	4.43605	2.31894	7.86271	8.25325
1.76207	4.66783	2.88427	1.87513	12.6515	17.4527
1.76652	3.16038	2.17377	1.04256	11.6404	10.9564
3.21456	4.98742	1.93277	3.49038	8.87778	7.49159
2.02585	3.69124	2.35292	2.40824	7.30612	7.02681
4.56615	4.28331	2.47731	3.46742	13.9735	11.6253
1.35732	3.96947	4.664	4.10219	6.12571	7.41457
2.55008	3.38473	2.727	4.6118	5.10377	5.27257
3.80665	2.06088	4.3674	4.12286	8.31037	6.22973
2.76011	1.19463	1.00623	1.4502	2.28786	3.93338
2.58416	4.55014	1.02153	4.88374	2.45948	5.23771
4.31516	1.91141	1.61137	3.51461	3.78156	5.27192
2.98911	4.60643	4.27708	3.92868	14.9902	15.1065
4.46709	4.3171	3.72218	3.94391	18.2006	15.5973
4.78262	3.41426	3.69676	4.32411	13.96	9.06983
1.8397	4.76854	2.95299	1.34415	19.2729	23.2689
4.66981	3.42304	3.13578	1.6758	29.9111	28.1976
4.52146	2.56369	1.89446	3.26987	6.71584	5.60442
1.998	3.56134	2.51295	2.71659	6.58219	6.26519
1.76458	3.53044	3.79768	4.13842	5.7168	5.6178
1.57195	3.65286	1.19017	3.63976	1.87762	5.24183
3.40989	3.27161	3.38456	4.04029	9.34526	6.11463
4.54635	3.46401	3.23576	1.94133	26.2494	27.0619
1.24222	3.73789	2.37521	3.5999	3.06364	5.30949
3.48669	1.37626	2.16063	1.32986	7.79628	8.12923
4.94463	2.80065	2.88695	3.99857	9.99834	6.24475
3.71292	2.2192	1.82009	1.54603	9.70034	7.86816
4.6678	3.77788	2.15936	4.98694	7.63572	5.35533
3.62115	4.39385	4.76393	4.52023	16.7686	15.0074
1.5236	1.33987	2.1065	4.03594	1.06549	2.13473
3.41026	2.59256	1.99604	2.42605	7.27422	6.0371
3.21766	2.93867	3.70198	2.9111	12.0245	10.9313
3.78147	2.04836	1.23898	4.72457	2.03128	5.23242
4.4335	4.00609	1.76981	4.84294	6.49059	5.32462
3.94746	1.29327	1.41625	1.27353	5.6772	8.08226
1.45273	1.85329	3.21623	4.85739	1.78268	2.13473
