X0	X1	X2	Y_true	Y_pred	
1.06266	1.97059	1.78213	0.36956	0.245286
1.16563	2.85048	1.05104	0.103957	0.160266
1.73531	2.0857	2.52804	0.222548	0.245286
2.40893	2.65953	1.65212	0.151743	0.160468
1.97395	1.1798	1.3943	0.200913	0.160372
2.28483	1.43925	2.11841	0.167059	0.160351
1.62489	1.98128	2.62007	0.227262	0.245286
1.0376	1.82817	2.48581	0.31452	0.245286
2.90261	1.78397	2.57765	0.132399	0.160468
2.83653	1.15564	2.85472	0.117547	0.160406
2.41429	2.77684	1.98544	0.156598	0.160468
2.08264	1.38986	1.13681	0.190147	0.160467
1.85092	1.48746	1.74971	0.213384	0.231757
2.08077	2.70581	1.40462	0.157678	0.160468
1.50812	1.27905	2.76851	0.162431	0.245286
1.41999	1.86815	1.63859	0.277299	0.245286
1.79804	1.46238	2.1207	0.207492	0.245286
1.52155	2.6168	1.98781	0.240722	0.245286
2.27687	2.0382	1.92742	0.175008	0.160467
1.68788	1.01368	2.87794	0.12843	0.245286
2.94537	1.40674	2.35467	0.128611	0.160468
2.44683	1.75652	1.88491	0.16282	0.160467
2.50078	2.84007	2.87566	0.159511	0.160466
1.98827	2.05093	1.57892	0.195073	0.160464
2.86556	1.79347	1.54182	0.138684	0.160468
2.62441	2.55565	1.16126	0.132002	0.160468
1.9592	1.49711	2.66617	0.170418	0.245286
1.28103	2.27855	1.21286	0.220329	0.216388
2.658	2.38724	1.53844	0.14263	0.160468
2.38014	2.44979	2.72204	0.16652	0.160446
2.34001	2.89881	1.11858	0.127647	0.160468
1.29432	2.97892	1.1219	0.110122	0.160447
2.97772	1.70528	2.91753	0.123321	0.160467
1.62305	1.08962	1.78102	0.224477	0.245286
1.37412	1.81841	2.19892	0.279405	0.245286
1.41225	2.27271	2.21221	0.282228	0.245286
2.67352	1.5636	1.30087	0.148501	0.160468
2.18735	1.37277	2.00186	0.174997	0.160082
2.21551	2.39219	2.60145	0.179267	0.16031
1.3123	1.53865	2.3461	0.251574	0.245286
1.3053	2.6067	2.27309	0.295812	0.245286
2.39746	1.09993	2.35627	0.145054	0.152748
1.62998	1.07813	1.32459	0.241971	0.245286
1.91949	2.06894	1.59368	0.201563	0.160457
1.30991	1.81461	1.08123	0.260377	0.245263
2.95934	2.80992	2.52185	0.134171	0.160468
1.81195	1.30181	2.0185	0.203607	0.245286
2.52296	2.64208	2.39867	0.15739	0.160468
1.22607	2.36153	1.77117	0.289768	0.245286
2.76095	2.32939	1.42321	0.136918	0.160468
2.37055	2.94732	1.92601	0.153375	0.160468
2.70519	1.09576	2.51904	0.128411	0.160435
2.47389	2.98031	2.60435	0.15941	0.160468
2.78983	1.70847	2.51404	0.13716	0.160467
1.10363	2.80065	1.40069	0.161688	0.245286
1.97522	1.38829	1.55385	0.201265	0.160335
1.47485	1.87905	2.79361	0.223183	0.245286
2.37934	2.68818	1.6733	0.15309	0.160468
2.38016	1.98366	1.35804	0.161921	0.160468
1.22179	2.01961	2.67428	0.282858	0.245286
2.80127	1.0348	2.86996	0.114911	0.160124
2.39628	1.44046	1.01081	0.163829	0.160468
2.56081	2.50617	2.02167	0.153024	0.160468
1.48243	1.17727	1.9678	0.233446	0.245286
2.52387	1.66336	1.272	0.156179	0.160468
2.63011	2.4307	2.0443	0.150054	0.160468
1.59458	1.19597	1.67878	0.238977	0.245286
2.25842	2.83963	2.93277	0.176496	0.160336
1.72636	2.15776	1.13144	0.193656	0.160465
1.28922	1.00629	1.99684	0.230354	0.245286
1.06401	1.47871	1.77777	0.360419	0.245286
2.96435	2.38845	1.50968	0.128794	0.160468
1.7427	2.74903	2.11342	0.214191	0.15944
2.69945	2.60444	1.02916	0.124649	0.160468
2.69192	1.15332	1.07895	0.148144	0.160468
1.97954	1.26174	2.41789	0.169931	0.245286
2.52114	1.11333	1.8201	0.152141	0.160466
1.47243	2.5558	2.11939	0.259299	0.245286
1.05434	2.35126	1.12416	0.192218	0.245286
2.32127	2.18883	2.48324	0.170487	0.160441
1.35015	2.88445	1.96345	0.234144	0.245286
1.72032	1.24843	2.89865	0.146383	0.245286
2.68602	1.81147	2.6726	0.141085	0.160463
1.91908	1.01177	2.14897	0.174408	0.245286
2.59743	2.31677	2.72325	0.151722	0.160466
2.90048	2.30967	1.09741	0.12604	0.160468
2.24859	1.05023	2.57577	0.140945	0.245286
1.29915	2.13434	2.48246	0.29625	0.245286
1.89163	2.54402	2.75433	0.2096	0.245286
1.47904	1.41138	1.50997	0.269132	0.245286
1.15431	2.84927	2.36683	0.316706	0.245286
1.87988	2.83843	1.59478	0.170507	0.160467
2.48007	2.16956	1.23117	0.149747	0.160468
1.65315	1.38377	1.90589	0.229582	0.245286
1.88877	2.47013	1.20881	0.169002	0.160468
2.19808	1.98076	1.1131	0.167893	0.160468
2.01237	1.81052	2.33542	0.191615	0.245286
2.01518	1.98639	1.08516	0.179129	0.160468
1.061	1.92679	2.36711	0.344982	0.245286
2.48829	1.27949	2.87902	0.130401	0.245286
2.55924	1.07077	2.60223	0.130329	0.155872
2.91906	1.72804	2.9702	0.124838	0.160465
1.10836	1.70738	1.97009	0.349968	0.245286
2.23267	2.44972	2.13486	0.176916	0.160466
1.09469	2.01112	2.97252	0.247816	0.245286
2.55868	1.61252	2.34292	0.149692	0.160463
1.45155	2.12281	2.17538	0.274659	0.245286
2.95165	1.35744	1.26715	0.135096	0.160468
2.90469	1.46212	1.98004	0.135178	0.160468
2.68471	1.71092	1.90073	0.148227	0.160468
2.22862	1.67681	1.30777	0.176571	0.160468
2.65399	1.93943	1.06763	0.142423	0.160468
1.46483	1.38665	1.26241	0.27137	0.245286
2.17002	1.902	2.86255	0.166686	0.245286
1.44665	1.02638	1.26263	0.272117	0.245286
1.57475	1.91011	1.45102	0.242796	0.122237
2.66313	2.68279	1.88175	0.143176	0.160468
2.08274	2.38411	1.0072	0.153946	0.160468
1.36768	2.21567	1.78741	0.277738	0.245286
2.34885	2.57026	2.25631	0.168336	0.160467
2.61318	2.79287	1.22206	0.127432	0.160468
2.83495	2.78464	1.27068	0.122021	0.160468
1.31294	2.80753	1.26855	0.152866	0.160301
1.75199	2.44905	2.48779	0.227652	0.245286
1.81667	1.75726	2.35873	0.207889	0.245286
1.81867	1.72597	1.48151	0.217387	0.160337
2.29612	2.65457	2.66853	0.173743	0.160451
2.2277	1.8819	2.95901	0.159327	0.245286
1.22199	1.61839	2.76941	0.2095	0.245286
1.00206	1.35429	2.1505	0.29035	0.245286
2.28993	2.43778	2.98123	0.169378	0.152334
2.47211	2.38444	1.59543	0.153364	0.160468
2.11976	2.81998	2.81988	0.188202	0.159455
2.04519	1.29332	1.04734	0.193658	0.160467
2.92298	1.67085	1.83791	0.136262	0.160468
1.26731	2.26503	1.58357	0.272421	0.245286
